ticker,date,title,distributor,gross,percent_yd,percent_lw,theaters,per_theater,total_gross,days_in_release,parent company,distributor address,distributorwebsite,release_date,year,title_key,weekday,release_month,release_weekday,is_weekend,days_since_release,average_theaters,average_daily_gross,average_daily_gross_per_theater,total_gross_by_average_theaters,avg_gross_monday,avg_gross_tuesday,avg_gross_wednesday,avg_gross_thursday,avg_gross_friday,avg_gross_saturday,avg_gross_sunday,avg_gross_weekend,avg_gross_weekday,gross_per_theater_by_total,weekly_gross_by_total,average_weekly_gross,average_weekly_gross_per_theater,id,original_title,popularity
AMZN,2007-09-03,1408,MGM,38250,0.0,0.0,218.0,175.0,71519946,74,"Amazon.com, Inc.","Beverly Hills, California, United States",https://www.mgm.com/,2007-06-21,2007,1408,0,6,3,0,74,2289.3611111111113,1911403.0555555555,765.5555555555555,31240.133176407777,1080696.6666666667,1163785.2,1079948.4,1036500.4,3229999.4,3393589.8,2561442.8,3061677.3333333335,1089778.5714285714,31240.133176407777,7151994.6,13379821.388888888,5358.888888888889,3021,1408,7.4054
WBD,2001-04-05,15 Minutes,New Line,89000,-0.04,-0.56,936.0,95.0,23917000,28,Warner Bros. Discovery,"4000 Warner Blvd, Burbank, California",housepartymovie.com,2001-03-08,2001,15 minutes,3,3,3,0,28,1977.625,932448.7083333334,420.375,12093.799380570128,407309.25,452061.75,378606.25,332465.0,2260500.0,3287500.0,1250250.0,2012125.0,392610.5625,12093.799380570128,5979250.0,6527140.958333334,2942.625,2749,15 Minutes,3.8044
WBD,2001-04-05,15 Minutes,New Line,89000,-0.04,-0.56,936.0,95.0,23917000,28,Warner Bros. Discovery,"4000 Warner Blvd, Burbank, California",housepartymovie.com,2001-03-08,2001,15 minutes,3,3,3,0,28,1977.625,932448.7083333334,420.375,12093.799380570128,407309.25,452061.75,378606.25,332465.0,2260500.0,3287500.0,1250250.0,2012125.0,392610.5625,12093.799380570128,5979250.0,6527140.958333334,2942.625,68664,15 Minutes,0.0143
WBD,2001-04-05,15 Minutes,New Line,89000,-0.04,-0.56,936.0,95.0,23917000,28,Warner Bros. Discovery,"4000 Warner Blvd, Burbank, California",housepartymovie.com,2001-03-08,2001,15 minutes,3,3,3,0,28,1977.625,932448.7083333334,420.375,12093.799380570128,407309.25,452061.75,378606.25,332465.0,2260500.0,3287500.0,1250250.0,2012125.0,392610.5625,12093.799380570128,5979250.0,6527140.958333334,2942.625,776658,15 Minutes,0.0676
WBD,2001-04-05,15 Minutes,New Line,89000,-0.04,-0.56,936.0,95.0,23917000,28,Warner Bros. Discovery,"4000 Warner Blvd, Burbank, California",housepartymovie.com,2001-03-08,2001,15 minutes,3,3,3,0,28,1977.625,932448.7083333334,420.375,12093.799380570128,407309.25,452061.75,378606.25,332465.0,2260500.0,3287500.0,1250250.0,2012125.0,392610.5625,12093.799380570128,5979250.0,6527140.958333334,2942.625,1061153,15 Minutes,0.0414
WBD,2006-03-30,16 Blocks,Warner Bros.,214226,0.06,-0.49,2066.0,104.0,34819264,28,Warner Bros. Entertainment Inc.,"4000 Warner Blvd., Burbank, California, US",https://www.warnerbros.com/,2006-03-02,2006,16 blocks,3,3,3,0,28,2536.0,1243679.142857143,473.07142857142856,13729.993690851736,542310.5,559349.25,527049.0,531628.5,1962232.25,2885784.25,1697400.25,2181805.5833333335,540084.3125,13729.993690851736,8704816.0,8705754.0,3311.5,2207,16 Blocks,4.0025
WBD,2009-08-06,17 Again,Warner Bros.,3942,-0.1,-0.59,27.0,146.0,64167069,112,Warner Bros. Entertainment Inc.,"4000 Warner Blvd., Burbank, California, US",https://www.warnerbros.com/,2009-04-16,2009,17 again,3,4,3,0,112,1143.1517857142858,572920.2589285715,321.4642857142857,56131.713917505636,194344.4375,201509.0625,174386.875,179147.5,1152989.9375,1331993.6875,776070.3125,1087017.9791666667,187346.96875,56131.713917505636,4010441.8125,4010441.8125000005,2250.25,16996,17 Again,7.4565
CMCSA,2020-03-19,1917,Universal,225,-0.7,-1.0,766.0,0.0,159227644,86,Comcast Corporation,"10 Universal City Plaza, Universal City, California, United States",https://www.universalpictures.com///,2019-12-24,2020,1917,3,12,1,0,86,2357.425287356322,1867559.1264367816,3386.0,67543.02876701643,1108690.5,1234134.4166666667,781188.7692307692,905989.1428571428,2872422.5,3973649.6666666665,2447631.4166666665,3097901.1944444445,999082.3725490196,67543.02876701643,13268970.333333334,13072913.885057472,23702.0,530915,1917,11.3422
CMCSA,2020-03-19,1917,Universal,225,-0.7,-1.0,766.0,0.0,159227644,86,Comcast Corporation,"10 Universal City Plaza, Universal City, California, United States",https://www.universalpictures.com///,2019-12-24,2020,1917,3,12,1,0,86,2357.425287356322,1867559.1264367816,3386.0,67543.02876701643,1108690.5,1234134.4166666667,781188.7692307692,905989.1428571428,2872422.5,3973649.6666666665,2447631.4166666665,3097901.1944444445,999082.3725490196,67543.02876701643,13268970.333333334,13072913.885057472,23702.0,547729,1917,0.3792
LGF.A,2024-09-19,1992,Lionsgate,7249,-0.21,-0.76,159.0,46.0,2906073,21,Lionsgate,"Santa Monica, California, U.S.",http://www.lionsgate.com/,2024-08-29,2024,1992,3,8,3,0,21,636.3333333333334,124472.61111111111,168.77777777777777,4566.903614457831,141861.66666666666,85528.66666666667,55580.333333333336,35865.0,0.0,238833.33333333334,189166.66666666666,214000.0,79708.91666666667,4566.903614457831,968691.0,871308.2777777778,1181.4444444444443,413846,1992,4.6652
